"Ux","Uy","Cp","Points:0","Points:1","Points:2"
1,0,0,-2.0783,-0.025,0
1,0,0,-2.0783,0.025,0
1,0,0,-2.0783,0.0875,0
1,0,0,-2.0783,0.16563,0
1,0,0,-2.0783,0.26328,0
1,0,0,-2.0783,0.38535,0
1,0,0,-2.0783,0.53794,0
1,0,0,-2.0783,0.72867,0
1,0,0,-2.0783,0.96709,0
1,0,0,-2.0783,1.2651,0
1,0,0,-2.0783,1.6376,0
1,0,0,-2.0783,2.1033,0
0.99684,0,0.006311,-1.6126,-0.025,0
0.99684,4.1e-05,0.006311,-1.6126,0.025,0
0.99685,0.000124,0.006285,-1.6126,0.0875,0
0.99689,0.000225,0.006213,-1.6126,0.16563,0
0.99696,0.000345,0.006065,-1.6126,0.26328,0
0.9971,0.000477,0.005797,-1.6126,0.38535,0
0.99732,0.000611,0.005357,-1.6126,0.53794,0
0.99765,0.000724,0.004697,-1.6126,0.72867,0
0.9981,0.000791,0.003796,-1.6126,0.96709,0
0.99866,0.000794,0.002679,-1.6126,1.2651,0
0.99929,0.000753,0.00141,-1.6126,1.6376,0
1,0,0,-1.6126,2.1033,0
0.99608,0,0.007833,-1.2401,-0.025,0
0.99608,9.6e-05,0.007833,-1.2401,0.025,0
0.9961,0.000292,0.007783,-1.2401,0.0875,0
0.99617,0.000527,0.007646,-1.2401,0.16563,0
0.99631,0.000797,0.007367,-1.2401,0.26328,0
0.99655,0.001082,0.006881,-1.2401,0.38535,0
0.99693,0.001345,0.00613,-1.2401,0.53794,0
0.99745,0.001528,0.005097,-1.2401,0.72867,0
0.99807,0.00158,0.003846,-1.2401,0.96709,0
0.99874,0.001493,0.002515,-1.2401,1.2651,0
0.99938,0.001341,0.001235,-1.2401,1.6376,0
1,0,0,-1.2401,2.1033,0
0.99478,0,0.010414,-0.94209,-0.025,0
0.99478,0.000189,0.010414,-0.94209,0.025,0
0.99483,0.000571,0.010304,-0.94209,0.0875,0
0.99498,0.001021,0.010005,-0.94209,0.16563,0
0.99528,0.001514,0.009415,-0.94209,0.26328,0
0.99577,0.001992,0.008442,-0.94209,0.38535,0
0.99646,0.002358,0.007059,-0.94209,0.53794,0
0.99731,0.002512,0.005373,-0.94209,0.72867,0
0.99818,0.002407,0.003625,-0.94209,0.96709,0
