VARIABLES = "X", "Y", "Ux", "Uy", "Cp" 
ZONE I=12, J=41, F=POINT
-2.078306 -0.025000 1.000000 -0.000000 0.000000
-2.078306 0.025000 1.000000 0.000000 0.000000
-2.078306 0.087500 1.000000 0.000000 0.000000
-2.078306 0.165625 1.000000 0.000000 0.000000
-2.078306 0.263281 1.000000 0.000000 0.000000
-2.078306 0.385352 1.000000 0.000000 0.000000
-2.078306 0.537939 1.000000 0.000000 0.000000
-2.078306 0.728674 1.000000 0.000000 0.000000
-2.078306 0.967093 1.000000 0.000000 0.000000
-2.078306 1.265116 1.000000 0.000000 0.000000
-2.078306 1.637645 1.000000 0.000000 0.000000
-2.078306 2.103306 1.000000 0.000000 0.000000
-1.612645 -0.025000 0.997472 -0.000033 0.005050
-1.612645 0.025000 0.997472 0.000033 0.005050
-1.612645 0.087500 0.997482 0.000099 0.005030
-1.612645 0.165625 0.997511 0.000180 0.004972
-1.612645 0.263281 0.997570 0.000276 0.004853
-1.612645 0.385352 0.997678 0.000382 0.004639
-1.612645 0.537939 0.997854 0.000489 0.004287
-1.612645 0.728674 0.998119 0.000580 0.003759
-1.612645 0.967093 0.998480 0.000632 0.003037
-1.612645 1.265116 0.998927 0.000635 0.002144
-1.612645 1.637645 0.999436 0.000602 0.001128
-1.612645 2.103306 1.000000 0.000000 0.000000
-1.240116 -0.025000 0.996861 -0.000077 0.006269
-1.240116 0.025000 0.996861 0.000077 0.006269
-1.240116 0.087500 0.996880 0.000233 0.006229
-1.240116 0.165625 0.996936 0.000421 0.006119
-1.240116 0.263281 0.997047 0.000637 0.005896
-1.240116 0.385352 0.997242 0.000866 0.005507
-1.240116 0.537939 0.997544 0.001076 0.004906
-1.240116 0.728674 0.997958 0.001222 0.004079
-1.240116 0.967093 0.998459 0.001264 0.003078
-1.240116 1.265116 0.998992 0.001195 0.002013
-1.240116 1.637645 0.999505 0.001073 0.000989
-1.240116 2.103306 1.000000 0.000000 0.000000
-0.942093 -0.025000 0.995824 -0.000151 0.008335
-0.942093 0.025000 0.995824 0.000151 0.008335
-0.942093 0.087500 0.995868 0.000457 0.008248
-0.942093 0.165625 0.995988 0.000817 0.008008
-0.942093 0.263281 0.996224 0.001212 0.007536
-0.942093 0.385352 0.996614 0.001593 0.006757
-0.942093 0.537939 0.997169 0.001886 0.005650
-0.942093 0.728674 0.997845 0.002010 0.004301
-0.942093 0.967093 0.998546 0.001926 0.002902
-0.942093 1.265116 0.999162 0.001681 0.001672
-0.942093 1.637645 0.999634 0.001408 0.000730
-0.942093 2.103306 1.000000 0.000000 0.000000
-0.703674 -0.025000 0.994226 -0.000287 0.011515
-0.703674 0.025000 0.994226 0.000287 0.011515
-0.703674 0.087500 0.994329 0.000859 0.011309
-0.703674 0.165625 0.994603 0.001509 0.010762
-0.703674 0.263281 0.995117 0.002168 0.009737
-0.703674 0.385352 0.995897 0.002712 0.008181
-0.703674 0.537939 0.996883 0.002999 0.006216
-0.703674 0.728674 0.997918 0.002944 0.004151
-0.703674 0.967093 0.998816 0.002581 0.002360
-0.703674 1.265116 0.999449 0.002065 0.001096
-0.703674 1.637645 0.999811 0.001609 0.000375
-0.703674 2.103306 1.000000 0.000000 0.000000
-0.512939 -0.025000 0.991802 -0.000544 0.016328
-0.512939 0.025000 0.991802 0.000544 0.016328
-0.512939 0.087500 0.992056 0.001608 0.015822
-0.512939 0.165625 0.992700 0.002741 0.014540
-0.512939 0.263281 0.993802 0.003739 0.012344
-0.512939 0.385352 0.995276 0.004352 0.009406
-0.512939 0.537939 0.996873 0.004412 0.006225
-0.512939 0.728674 0.998281 0.003943 0.003420
-0.512939 0.967093 0.999280 0.003151 0.001430
-0.512939 1.265116 0.999824 0.002318 0.000347
-0.512939 1.637645 1.000011 0.001690 -0.000025
-0.512939 2.103306 1.000000 0.000000 0.000000
-0.360352 -0.025000 0.988069 -0.001061 0.023719
-0.360352 0.025000 0.988069 0.001061 0.023719
-0.360352 0.087500 0.988741 0.003050 0.022383
-0.360352 0.165625 0.990272 0.004919 0.019337
-0.360352 0.263281 0.992522 0.006194 0.014862
-0.360352 0.385352 0.995044 0.006550 0.009844
-0.360352 0.537939 0.997311 0.006003 0.005335
-0.360352 0.728674 0.998956 0.004869 0.002062
-0.360352 0.967093 0.999887 0.003568 0.000213
-0.360352 1.265116 1.000231 0.002439 -0.000468
-0.360352 1.637645 1.000206 0.001681 -0.000416
-0.360352 2.103306 1.000000 0.000000 0.000000
-0.238281 -0.025000 0.982066 -0.002184 0.035542
-0.238281 0.025000 0.982066 0.002184 0.035542
-0.238281 0.087500 0.984039 0.005912 0.031633
-0.238281 0.165625 0.987622 0.008650 0.024528
-0.238281 0.263281 0.991782 0.009704 0.016275
-0.238281 0.385352 0.995522 0.009141 0.008852
-0.238281 0.537939 0.998261 0.007542 0.003418
-0.238281 0.728674 0.999873 0.005592 0.000222
-0.238281 0.967093 1.000552 0.003804 -0.001120
-0.238281 1.265116 1.000622 0.002449 -0.001251
-0.238281 1.637645 1.000379 0.001614 -0.000762
-0.238281 2.103306 1.000000 0.000000 0.000000
-0.140625 -0.025000 0.971657 -0.004914 0.055859
-0.140625 0.025000 0.971657 0.004914 0.055859
-0.140625 0.087500 0.978060 0.011731 0.043261
-0.140625 0.165625 0.985732 0.014598 0.028120
-0.140625 0.263281 0.992260 0.014094 0.015222
-0.140625 0.385352 0.996876 0.011733 0.006101
-0.140625 0.537939 0.999624 0.008788 0.000674
-0.140625 0.728674 1.000899 0.006043 -0.001835
-0.140625 0.967093 1.001197 0.003875 -0.002410
-0.140625 1.265116 1.000967 0.002383 -0.001941
-0.140625 1.637645 1.000523 0.001518 -0.001048
-0.140625 2.103306 1.000000 0.000000 0.000000
-0.062500 -0.025000 0.951788 -0.012190 0.093951
-0.062500 0.025000 0.951788 0.012190 0.093951
-0.062500 0.087500 0.973203 0.023505 0.052323
-0.062500 0.165625 0.986393 0.022850 0.026508
-0.062500 0.263281 0.994406 0.018619 0.010810
-0.062500 0.385352 0.998965 0.013854 0.001877
-0.062500 0.537939 1.001188 0.009602 -0.002470
-0.062500 0.728674 1.001905 0.006236 -0.003853
-0.062500 0.967093 1.001768 0.003826 -0.003554
-0.062500 1.265116 1.001253 0.002273 -0.002512
-0.062500 1.637645 1.000637 0.001412 -0.001276
-0.062500 2.103306 1.000000 0.000000 0.000000
0.000000 -0.025000 0.955648 0.123872 0.071392
0.000000 0.025000 0.955648 0.076128 0.080941
0.000000 0.087500 0.978484 0.046335 0.040422
0.000000 0.165625 0.991102 0.031560 0.016720
0.000000 0.263281 0.997958 0.022140 0.003591
